Unnamed: 0,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
62,SR Watson (AUS),2002-2015,190,169,27,5757,185*,40.54,6365,90.44,9,33,12,570,131
72,SP Fleming (ICC/NZ),1994-2007,280,269,21,8037,134*,32.4,11242,71.49,8,49,17,823,63
9,SC Ganguly (Asia/INDIA),1992-2007,311,300,23,11363,183,41.02,15416,73.7,22,72,16,1122,190
33,Yuvraj Singh (Asia/INDIA),2000-2017,304,278,40,8701,150,36.55,9924,87.67,14,52,18,908,155
114,SK Raina (INDIA),2005-2018,226,194,35,5615,116*,35.31,6005,93.5,5,36,14,476,120
68,GA Gooch (ENG),1976-1995,125,122,6,4290,142,36.98,6932,61.88,8,23,4,407+,15
28,V Sehwag (Asia/ICC/INDIA),1999-2013,251,245,9,8273,219,35.05,7929,104.33,15,38,14,1132,136
47,Mohammad Hafeez (PAK),2003-2019,218,216,15,6614,140*,32.9,8633,76.61,11,38,19,664,110
84,AD Hales (ENG),2014-2019,70,67,3,2419,171,37.79,2527,95.72,6,14,5,276,50
5,HM Amla (SA),2008-2019,181,178,14,8113,159,49.46,9178,88.39,27,39,4,822,53
77,DI Gower (ENG),1978-1991,114,111,8,3170,158,30.77,4218,75.15,7,12,6,290,22
67,Salman Butt (PAK),2004-2010,78,78,4,2725,136,36.82,3572,76.28,8,14,15,343,7
39,R Dravid (Asia/ICC/INDIA),1996-2011,344,318,40,10889,153,39.16,15285,71.23,12,83,13,950,42
49,MS Atapattu (SL),1990-2007,268,259,32,8529,132*,37.57,12594,67.72,11,59,13,734,15
35,G Kirsten (SA),1993-2003,185,185,19,6798,188*,40.95,9436,72.04,13,45,11,659,20
16,DA Warner (AUS),2009-2020,128,126,6,5455,179,45.45,5710,95.53,18,23,2,571,85
65,Shoaib Malik (PAK),1999-2019,287,258,40,7534,143,34.55,9199,81.9,9,44,15,603,113
34,KS Williamson (NZ),2010-2020,151,144,14,6173,148,47.48,7551,81.75,13,39,5,563,49
85,EC Joyce (ENG/IRE),2006-2018,78,77,8,2622,160*,38.0,3630,72.23,6,15,5,255,25
7,CH Gayle (ICC/WI),1999-2019,301,294,17,10480,215,37.83,12019,87.19,25,54,25,1128,331
43,WTS Porterfield (IRE),2006-2021,145,142,3,4317,139,31.05,6259,68.97,11,20,10,452,31
113,DR Martyn (AUS),1992-2006,208,182,51,5346,144*,40.8,6877,77.73,5,37,10,441,22
78,DM Jones (AUS),1984-1994,164,161,25,6068,145,44.61,8362,72.56,7,46,6,380+,64+
27,WU Tharanga (Asia/SL),2005-2019,235,223,17,6951,174*,33.74,9155,75.92,15,37,17,798,52
19,S Dhawan (INDIA),2010-2021,145,142,8,6105,143,45.55,6509,93.79,17,33,5,763,72
94,MG Bevan (AUS),1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5,450,21
104,WW Hinds (WI),1999-2010,119,111,10,2880,127*,28.51,4393,65.55,5,14,8,261,50
25,NJ Astle (NZ),1995-2007,223,217,14,7090,145*,34.92,9760,72.64,16,41,19,720,86
8,KC Sangakkara (Asia/ICC/SL),2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15,1385,88
13,Saeed Anwar (PAK),1989-2003,247,244,19,8824,194,39.21,10938,80.67,20,43,15,938,97
83,Fakhar Zaman (PAK),2017-2021,53,53,4,2325,210*,47.44,2455,94.7,6,13,5,263,45
3,RG Sharma (INDIA),2007-2021,227,220,32,9205,264,48.96,10354,88.9,29,43,13,832,244
